NPD_ID;Noise Metric;Op Mode;Power Setting;L_200ft;L_400ft;L_630ft;L_1000ft;L_2000ft;L_4000ft;L_6300ft;L_10000ft;L_16000ft;L_25000ft
CFM565;EPNL;A;2700.0;101.3;94.3;90.4;86.2;80.0;72.7;67.4;60.8;52.3;43.3
CFM565;EPNL;A;6000.0;102.5;96.7;92.8;88.4;81.0;73.5;68.0;61.6;53.0;44.1
CFM565;EPNL;D;12000.0;108.2;104.2;99.8;95.1;86.9;78.2;72.8;65.1;57.4;47.4
CFM565;EPNL;D;15500.0;110.7;106.0;102.0;97.2;89.6;81.5;76.2;69.8;62.2;53.2
CFM565;EPNL;D;19000.0;110.9;106.7;103.2;99.1;92.1;85.1;80.1;73.5;66.4;57.9
CFM565;EPNL;D;22500.0;113.2;108.4;105.0;101.3;94.9;88.4;83.6;77.0;70.4;62.1
CFM565;LAmax;A;2700.0;91.7;84.4;79.7;74.8;67.0;58.5;52.2;45.3;37.5;29.5
CFM565;LAmax;A;6000.0;93.8;86.1;80.9;75.6;67.4;58.7;52.4;45.5;37.7;29.7
CFM565;LAmax;D;12000.0;100.3;92.0;86.2;80.3;71.1;61.7;55.4;48.6;40.9;33.1
CFM565;LAmax;D;15500.0;102.5;94.9;89.5;83.6;74.0;65.0;58.8;52.1;44.7;36.8
CFM565;LAmax;D;19000.0;104.3;96.6;91.1;85.7;77.2;68.2;62.2;55.5;47.9;40.0
CFM565;LAmax;D;22500.0;105.9;98.9;94.1;88.9;80.9;72.5;66.1;59.4;51.7;43.3
CFM565;PNLTM;A;2700.0;106.4;98.4;92.8;87.0;77.8;68.3;61.4;53.5;44.6;35.0
CFM565;PNLTM;A;6000.0;109.3;101.9;96.7;90.9;80.9;70.4;62.6;54.1;45.2;35.7
CFM565;PNLTM;D;12000.0;120.5;112.3;106.1;98.7;87.8;75.1;68.2;57.8;48.4;37.4
CFM565;PNLTM;D;15500.0;119.5;111.8;106.3;100.0;88.7;78.8;72.1;63.1;54.3;42.9
CFM565;PNLTM;D;19000.0;121.8;114.2;108.6;102.6;92.4;81.9;75.7;66.2;57.5;47.3
CFM565;PNLTM;D;22500.0;122.8;115.5;110.2;104.4;94.9;85.9;79.5;70.7;62.2;52.2
CFM565;SEL;A;2700.0;96.6;90.5;87.5;84.2;78.9;72.8;68.2;62.9;56.8;50.3
CFM565;SEL;A;6000.0;97.4;91.6;88.2;84.8;79.3;73.1;68.5;63.3;57.1;50.6
CFM565;SEL;D;12000.0;100.9;96.2;92.4;88.3;81.9;75.5;71.1;66.0;60.0;53.8
CFM565;SEL;D;15500.0;103.6;99.0;95.3;91.5;85.6;79.3;74.9;69.9;64.2;57.9
CFM565;SEL;D;19000.0;104.7;100.5;97.3;93.9;88.3;82.4;78.1;73.2;67.3;61.0
CFM565;SEL;D;22500.0;106.5;102.4;99.6;96.4;91.4;85.7;81.5;76.5;70.8;64.3
