Flight id,X (m),Y (m),Altitude (m),Ground speed (km/h),Time (s),Distance (m),Altitude (ft),Distance (ft)
1,-1.2507,0.37111,0.65617,7.581,0,0,0.65617,0
1,23.4425,1.2803,-4.2651,16.7171,4,0,-4.2651,0
1,69.0348,1.3481,-4.5932,27.797,8,0,-4.5932,0
1,139.112,0.90847,-2.2966,40.6263,12,70.0785789979855,-2.2966,229.91659776242
1,237.3663,0.20235,0.98425,55.2052,16,168.335416286514,0.98425,552.281549496438
1,367.3706,-0.23658,2.9528,71.5335,20,298.340457258143,2.9528,978.807274468973
1,532.7171,-0.17402,2.2966,89.6112,24,463.686969093149,2.2966,1521.28270699852
1,736.8921,0.71764,-1.9685,109.0497,28,667.863916084124,-1.9685,2191.15458032849
1,981.7697,1.3581,-5.2493,129.0713,32,912.742353621551,-5.2493,2994.56152762976
1,1268.5452,0.32216,0,149.2873,36,1199.51972471616,0,3935.43216770393
1,1588.3789,-2.0649,9.5144,159.0065,40,1519.36233243304,9.5144,4984.7845552265
1,1913.8483,-3.2826,1.3123,155.5076,44,1844.83401035548,1.3123,6052.60502085131
1,2228.4495,-3.8063,-18.3727,150.6479,48,2159.43564624304,-18.3727,7084.76261890762
1,2535.8856,-9.7078,4.5932,148.7041,52,2466.92838320679,4.5932,8093.59705776508
1,2843.3152,-20.1192,99.4094,151.0367,56,2774.53422873987,99.4094,9102.80258772924
1,3160.1552,-22.7016,246.7192,157.4514,60,3091.38475247269,246.7192,10142.3384267477
1,3489.8048,-12.7235,427.8215,162.5054,64,3421.18533048881,427.8215,11224.3613205014
1,3826.2399,2.307,630.5774,164.2549,68,3757.95601276722,630.5774,12329.2520103911
1,4163.0091,13.7516,844.1601,162.6998,72,4094.91962050224,844.1601,13434.7756578157
1,4494.8954,15.558,1058.0709,159.9784,76,4426.81083642795,1058.0709,14523.6575998292
1,4821.7749,9.622,1268.7008,158.0346,80,4753.74422966922,1268.7008,15596.2737193872
1,5145.0839,0.045919,1473.0971,156.4795,84,5077.19501542853,1473.0971,16657.4639613797
1,5465.8655,-9.194,1668.9633,155.5076,88,5398.10966296225,1668.9633,17710.3335399024
1,5785.2566,-14.015,1853.6745,155.1188,92,5717.53714581275,1853.6745,18758.3239692019
1,6104.4134,-10.6339,2024.6063,155.3132,96,6036.71185474729,2024.6063,19805.4850877536
1,6424.1101,2.9039,2179.4619,155.8963,100,6356.69506058743,2179.4619,20855.2987552081
1,6744.718,20.9105,2319.8819,156.2851,104,6677.80822317341,2319.8819,21908.819629834
1,7066.1393,35.6632,2448.1627,156.4795,108,6999.56790717838,2448.1627,22964.4616377243
1,7388.1509,39.8318,2565.9449,156.6739,112,7321.6064883461,2565.9449,24021.0186625528
1,7710.7418,25.8997,2675.5249,157.4514,116,7644.49809891104,2675.5249,25080.3743402593
1,8033.9079,-13.7495,2778.8714,159.3952,120,7970.08739119482,2778.8714,26148.580679773
1,8355.3714,-85.6779,2877.2966,160.3672,124,8299.4997111812,2877.2966,27229.3297610932
1,8665.9411,-193.3913,2970.1444,158.8121,128,8628.2180025762,2970.1444,28307.8018457224
1,8954.484,-339.8205,3055.4462,155.8963,132,8951.78950279377,3055.4462,29369.3881325255
1,9210.1669,-527.8769,3131.8898,153.1749,136,9269.18350861835,3131.8898,30410.7070492728
1,9421.8437,-760.2917,3198.4908,153.5637,140,9583.54589014209,3198.4908,31442.0796920672
1,9578.4944,-1040.1888,3253.2808,159.9784,144,9904.29786347803,3253.2808,32494.415562592
1,9671.8779,-1367.2039,3296.2598,171.6415,148,10244.3851371303,3296.2598,33610.1874577767
1,9702.7207,-1730.9678,3333.0052,183.4989,152,10609.4542446361,3333.0052,34807.9207501184
1,9674.1813,-2118.4471,3369.7507,193.9957,156,10997.9831435366,3369.7507,36082.6218619968
1,9589.2313,-2516.8213,3412.7297,201.5767,160,11405.3140970936,3412.7297,37419.0095049003
1,9450.8232,-2912.9704,3468.832,206.0475,164,11824.9459733571,3468.832,38795.7545057647
1,9262.1283,-3294.0607,3544.2913,207.2138,168,12250.1936447676,3544.2913,40190.9240313899
1,9026.9058,-3650.1264,3643.0446,208.1857,172,12676.9399478831,3643.0446,41591.0103277006
1,8752.8048,-3981.6708,3762.1391,210.324,176,13107.1178731331,3762.1391,43002.3552268146
1,8447.83,-4291.5788,3897.3097,212.2678,180,13541.9196637217,3897.3097,44428.8702878008
1,8120.4049,-4583.009,4042.979,213.4341,184,13980.2560158328,4042.979,45866.9816792414
2,-1.344,0.26481,-0.65617,8.5529,0,23305.9840845727,-0.65617,76463.2023772069
2,25.3385,1.404,6.2336,17.689,4,23332.6908919466,6.2336,76550.8231363076
2,73.2389,1.4219,6.2336,29.3521,8,23380.5912952911,6.2336,76707.9766905876
2,147.1341,0.83046,2.2966,42.959,12,23454.4888621273,2.2966,76950.4227760083
2,251.3084,0.0094402,-2.2966,58.7041,16,23558.6663973929,-2.2966,77292.2125898716
2,390.2264,-0.34914,-4.5932,76.5875,20,23697.5848601822,-4.5932,77747.9818247448
2,568.1788,0.034619,-1.6404,96.8035,24,23875.5376739749,-1.6404,78331.8165156657
2,789.7754,1.1608,5.5774,118.9633,28,24097.1371356511,5.5774,79058.8488702465
2,1059.4438,1.2136,5.2493,143.4557,32,24366.8055408202,5.2493,79943.5877323496
2,1379.1039,-1.5856,-11.4829,164.838,36,24686.4778966044,-11.4829,80992.3815505394
2,1725.8239,-4.4236,-0.65617,169.1145,40,25033.209511321,-0.65617,82129.952464964
2,2067.3874,-3.4892,96.7848,163.0886,44,25374.7742894168,96.7848,83250.5718156719
2,2397.7637,-1.5809,261.811,158.4233,48,25705.1561006755,261.811,84334.5016426361
2,2720.207,-2.495,457.3491,155.1188,52,26027.6006963717,457.3491,85392.3907361277
2,3037.3659,-5.3571,668.6352,153.1749,56,26344.7725101661,668.6352,86432.980676398
2,3351.6569,-8.8072,885.8268,152.3974,60,26659.0824461704,885.8268,87464.1812538398
2,3665.5835,-11.2789,1098.7533,152.9806,64,26973.0187764803,1098.7533,88494.1560908146
2,3981.8616,-11.3926,1297.2441,154.5356,68,27289.2968969175,1297.2441,89531.8139662648
2,4301.0835,-9.0094,1478.3465,155.8963,72,27608.5276928659,1478.3465,90579.1590973291
2,4622.7349,-5.4655,1645.0131,156.6739,76,27930.1986153149,1645.0131,91634.5098927653
2,4945.7096,-2.2362,1801.5092,157.0626,80,28253.1894591767,1801.5092,92694.1911390312
2,5268.9013,-0.79658,1952.0997,157.0626,84,28576.3843654711,1952.0997,93754.5418814668
2,5591.6092,-2.6955,2100.3937,156.4795,88,28899.0978523593,2100.3937,94813.3131639086
2,5912.7076,-9.1088,2250.6562,155.7019,92,29220.2602924102,2250.6562,95866.9957100074
2,6232.7821,-19.7978,2403.5433,155.7019,96,29540.513224124,2403.5433,96917.6943048687
2,6553.9521,-31.9185,2555.7743,156.8683,100,29861.9118555282,2555.7743,97972.1517569822
2,6878.4498,-42.82,2704.3963,158.8121,104,30186.5926218319,2704.3963,99037.3773682147
2,7208.1885,-49.5716,2846.4567,161.9222,108,30516.4004361423,2846.4567,100119.424003092
2,7545.5067,-49.6156,2978.3465,166.1987,112,30853.718639012,2978.3465,101226.111020381
2,7892.6365,-40.3011,3096.7848,171.4471,116,31200.9733840599,3096.7848,102365.398241666
2,8249.8406,-24.1164,3201.7717,175.9179,120,31558.5439555153,3201.7717,103538.53003778
2,8615.3769,-9.693,3294.9475,179.4168,124,31924.3647054533,3294.9475,104738.7293486
2,8987.5167,-5.8622,3378.937,182.3326,128,32296.5242220221,3378.937,105959.725137868
2,9364.7373,-21.5421,3455.7087,184.6652,132,32674.0705639834,3455.7087,107198.394238791
2,9745.1101,-65.577,3527.8871,187.7754,136,33056.9837909655,3527.8871,108454.671230202
2,10127.0995,-146.6853,3597.769,192.2462,140,33447.4891789453,3597.769,109735.856886303
2,10510.4842,-266.0839,3668.6352,198.2721,144,33849.0360054501,3668.6352,111053.267734416
2,10897.0039,-416.6446,3745.0787,204.8812,148,34263.8443984131,3745.0787,112414.187658836
2,11288.3787,-590.9396,3831.0367,211.4903,152,34692.2752342548,3831.0367,113819.800637319
2,11686.6152,-781.322,3930.7743,217.5162,156,35133.6795479651,3930.7743,115267.97751957
2,12093.2405,-980.4771,4049.5407,222.5702,160,35586.4564118352,4049.5407,116753.465918095
2,12510.3675,-1180.8512,4190.6168,227.041,164,36049.2141390315,4190.6168,118271.699931206
2,12936.9547,-1380.3075,4354.9869,230.54,168,36520.1275650596,4354.9869,119816.691486416
2,13369.0325,-1582.5123,4538.7139,233.067,172,36997.1789316815,4538.7139,121381.820642
2,13802.8502,-1791.4181,4737.2047,234.8164,176,37478.6760034347,4737.2047,122961.53544434
2,14234.5572,-2010.9838,4946.5223,235.7883,180,37963.0106299746,4946.5223,124550.559809628
