snapshot,altitude (ft),heading,latitude,longitude,radar_id,ground speed (kts),squawk,date,flight_radar_flight_id
1574796790,0,271,48.72703,2.36593,9996,0,0,2019-11-26T00:00:00.000Z,586933868
1574797366,0,236,48.72703,2.36592,9996,0,0,2019-11-26T00:00:00.000Z,586933868
1574797397,0,92,48.72702,2.3663,9996,0,0,2019-11-26T00:00:00.000Z,586933868
1574797451,0,5,48.72723,2.36634,9996,2,0,2019-11-26T00:00:00.000Z,586933868
1574797469,0,5,48.72717,2.36598,9996,0,0,2019-11-26T00:00:00.000Z,586933868
1574797542,0,77,48.7271,2.36627,9996,0,0,2019-11-26T00:00:00.000Z,586933868
1574797557,0,252,48.72703,2.36595,9996,0,0,2019-11-26T00:00:00.000Z,586933868
1574797573,0,5,48.72718,2.36622,9996,2,0,2019-11-26T00:00:00.000Z,586933868
1574797592,0,5,48.72745,2.36614,9996,17,0,2019-11-26T00:00:00.000Z,586933868
1574797621,0,178,48.7271,2.36613,9996,0,0,2019-11-26T00:00:00.000Z,586933868
1574797759,0,99,48.72709,2.36622,9996,0,0,2019-11-26T00:00:00.000Z,586933868
1574797877,0,5,48.72706,2.36597,9996,2,0,2019-11-26T00:00:00.000Z,586933868
1574797986,0,5,48.72726,2.36618,9996,15,0,2019-11-26T00:00:00.000Z,586933868
1574798071,0,5,48.72709,2.36597,9996,2,0,2019-11-26T00:00:00.000Z,586933868
1574798218,0,3,48.72706,2.36593,9996,0,0,2019-11-26T00:00:00.000Z,586933868
1574798338,0,56,48.72712,2.36616,9996,0,0,2019-11-26T00:00:00.000Z,586933868
1574798364,0,271,48.72712,2.36595,9996,0,0,2019-11-26T00:00:00.000Z,586933868
1574798376,0,165,48.72753,2.36585,9996,0,0,2019-11-26T00:00:00.000Z,586933868
1574798408,0,170,48.72713,2.36595,9996,0,0,2019-11-26T00:00:00.000Z,586933868
1574798427,0,180,48.72756,2.36585,9996,0,0,2019-11-26T00:00:00.000Z,586933868
1574798476,0,5,48.72693,2.36593,9996,13,0,2019-11-26T00:00:00.000Z,586933868
1574798497,0,5,48.72647,2.36585,9996,11,0,2019-11-26T00:00:00.000Z,586933868
1574798653,0,253,48.72538,2.36396,9996,32,1000,2019-11-26T00:00:00.000Z,586933868
1574798666,0,253,48.72516,2.36269,9996,15,1000,2019-11-26T00:00:00.000Z,586933868
1574798673,0,253,48.72501,2.36189,9996,15,1000,2019-11-26T00:00:00.000Z,586933868
1574798682,0,253,48.72481,2.36085,9996,16,1000,2019-11-26T00:00:00.000Z,586933868
1574798694,0,267,48.72469,2.35967,9996,15,1000,2019-11-26T00:00:00.000Z,586933868
1574798700,0,278,48.72473,2.35897,9996,15,1000,2019-11-26T00:00:00.000Z,586933868
1574798713,0,264,48.72476,2.35762,9996,15,1000,2019-11-26T00:00:00.000Z,586933868
1574798721,0,253,48.72461,2.35671,9996,31,1000,2019-11-26T00:00:00.000Z,586933868
1574798729,0,295,48.7247,2.35602,9996,34,1000,2019-11-26T00:00:00.000Z,586933868
1574798738,0,343,48.72523,2.3557,9996,32,1000,2019-11-26T00:00:00.000Z,586933868
1574798755,0,345,48.72642,2.35519,9996,15,1000,2019-11-26T00:00:00.000Z,586933868
1574798773,0,343,48.72778,2.35463,9996,17,1000,2019-11-26T00:00:00.000Z,586933868
1574798785,0,343,48.72854,2.35433,9996,34,1000,2019-11-26T00:00:00.000Z,586933868
1574798809,0,19,48.73001,2.35382,9996,31,1000,2019-11-26T00:00:00.000Z,586933868
1574798820,0,47,48.73054,2.35445,9996,33,1000,2019-11-26T00:00:00.000Z,586933868
1574798874,0,61,48.73276,2.35868,9996,16,1000,2019-11-26T00:00:00.000Z,586933868
1574798883,0,61,48.73312,2.35968,9996,17,1000,2019-11-26T00:00:00.000Z,586933868
1574798892,0,47,48.73348,2.36051,9996,17,1000,2019-11-26T00:00:00.000Z,586933868
1574798901,0,16,48.73405,2.36094,9996,17,1000,2019-11-26T00:00:00.000Z,586933868
1574798910,0,340,48.73472,2.36083,9996,30,1000,2019-11-26T00:00:00.000Z,586933868
1574798919,0,323,48.73511,2.36044,9996,23,1000,2019-11-26T00:00:00.000Z,586933868
1574798931,0,258,48.7352,2.35987,9996,16,1000,2019-11-26T00:00:00.000Z,586933868
1574798972,0,239,48.73481,2.35877,22560,37,1000,2019-11-26T00:00:00.000Z,586933868
